language,key_coverage_percent,letter_coverage_percent,covered_keys,total_keys,covered_letters,total_letters
en,100,100,3416,3416,92342,92342
bn,100,100,3416,3416,92342,92342
hi,100,100,3416,3416,92342,92342
te,100,100,3416,3416,92342,92342
mr,100,100,3416,3416,92342,92342
ur,100,100,3416,3416,92342,92342
gu,100,100,3416,3416,92342,92342
pa,100,100,3416,3416,92342,92342
ml,100,100,3416,3416,92342,92342
kn,100,100,3416,3416,92342,92342
or,100,100,3416,3416,92342,92342
as,100,100,3416,3416,92342,92342
sa,100,100,3416,3416,92342,92342
es,100,100,3416,3416,92342,92342
fr,100,100,3416,3416,92342,92342
de,100,100,3416,3416,92342,92342
ar,100,100,3416,3416,92342,92342
ja,100,100,3416,3416,92342,92342
pt,100,100,3416,3416,92342,92342
zh,100,100,3416,3416,92342,92342
