language,total_keys,missing_keys,exact_english_matches,exact_english_percent,native_script_rule,native_script_key_hits,native_script_key_percent,native_letter_percent,status
bn,3416,0,16,0.47,Bengali,3367,98.57,96.65,pass
hi,3416,0,13,0.38,Devanagari,3397,99.44,98.99,pass
te,3416,0,27,0.79,Telugu,3356,98.24,96.37,pass
mr,3416,0,20,0.59,Devanagari,3363,98.45,96.90,pass
ur,3416,0,25,0.73,Arabic,3358,98.30,97.51,pass
gu,3416,0,19,0.56,Gujarati,3363,98.45,95.54,pass
pa,3416,0,21,0.61,Gurmukhi,3360,98.36,95.83,pass
ml,3416,0,17,0.50,Malayalam,3366,98.54,97.59,pass
kn,3416,0,24,0.70,Kannada,3359,98.33,96.66,pass
or,3416,0,25,0.73,Odia,3354,98.19,94.50,pass
as,3416,0,18,0.53,Bengali,3361,98.39,96.29,pass
sa,3416,0,24,0.70,Devanagari,3358,98.30,94.87,pass
es,3416,0,38,1.11,,,,,pass
fr,3416,0,57,1.67,,,,,pass
de,3416,0,84,2.46,,,,,pass
ar,3416,0,20,0.59,Arabic,2285,66.89,68.38,pass
ja,3416,0,24,0.70,Japanese,3386,99.12,92.92,pass
pt,3416,0,36,1.05,,,,,pass
zh,3416,0,16,0.47,Han,3394,99.36,94.67,pass
